mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
16;4;4;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_par.h5;par;23.293825;2.040357109159231;0.00020894594051809842
16;4;4;8;2048;9765;50;0.001;input_data_2048.h5;
16;4;4;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.293827;2.3585614301264286;0.00024153214850245044
16;4;4;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_par.h5;par;23.293827;2.3148183403536677;0.00023705256941665824
16;4;4;8;2048;9765;50;0.001;input_data_2048.h5;
16;4;4;8;4096;4882;50;0.001;input_data_4096.h5;;par;21.17162;3.9451662534847856;0.0008081045173053637
16;4;4;8;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_par.h5;par;21.171621;3.883383197709918;0.0007954492416448009
16;4;4;8;4096;4882;50;0.001;input_data_4096.h5;
16;4;4;8;4096;4882;50;0.001;input_data_4096.h5;;par;21.171621;4.157940802164376;0.0008516879971659926
16;4;4;8;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_par.h5;par;21.17162;4.178066946566105;0.0008558105175268547
16;4;4;8;4096;4882;50;0.001;input_data_4096.h5;
32;4;8;8;256;78125;50;0.001;input_data_256.h5;;par;61.74614;1.830456498079002;2.3429843175411224e-05
32;4;8;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/487203/256x256_out_hybrid_2d_par.h5;par;61.74614;1.7764148693531752;2.273811032772064e-05
32;4;8;8;256;78125;50;0.001;input_data_256.h5;
32;4;8;8;256;78125;50;0.001;input_data_256.h5;;par;61.74614;4.05409003701061;5.189235247373581e-05
32;4;8;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/487203/256x256_out_hybrid_2d_par.h5;par;61.74614;4.020240696147084;5.145908091068268e-05
32;4;8;8;256;78125;50;0.001;input_data_256.h5;
32;4;8;8;512;39062;50;0.001;input_data_512.h5;;par;44.712288;1.367054264061153;3.4997037122040675e-05
32;4;8;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_par.h5;par;44.71229;1.1938686603680253;3.056342891731159e-05
32;4;8;8;512;39062;50;0.001;input_data_512.h5;
32;4;8;8;512;39062;50;0.001;input_data_512.h5;;par;44.712284;2.316372844390571;5.9299903855167966e-05
32;4;8;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_par.h5;par;44.712288;2.294795517809689;5.8747517224148505e-05
32;4;8;8;512;39062;50;0.001;input_data_512.h5;
32;4;8;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.21296;1.0506102098152041;5.379193127925883e-05
32;4;8;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_par.h5;par;29.212961;1.0335613321512938;5.291901756957113e-05
32;4;8;8;1024;19531;50;0.001;input_data_1024.h5;
32;4;8;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.212961;1.5964384591206908;8.173869536228001e-05
32;4;8;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_par.h5;par;29.21296;1.6044038431718946;8.214652824596255e-05
32;4;8;8;1024;19531;50;0.001;input_data_1024.h5;
32;4;8;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.293827;1.241668239235878;0.0001271549656155533
32;4;8;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_par.h5;par;23.293827;1.2287848070263863;0.00012583561771903597
32;4;8;8;2048;9765;50;0.001;input_data_2048.h5;
32;4;8;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.293825;1.5616825856268406;0.00015992653206624072
32;4;8;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_par.h5;par;23.293827;1.8320579957216978;0.0001876147461056526
32;4;8;8;2048;9765;50;0.001;input_data_2048.h5;
32;4;8;8;4096;4882;50;0.001;input_data_4096.h5;;par;21.17162;1.993018500506878;0.00040823811972693117
32;4;8;8;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_par.h5;par;21.171621;2.006301213055849;0.00041095887199013706
32;4;8;8;4096;4882;50;0.001;input_data_4096.h5;
32;4;8;8;4096;4882;50;0.001;input_data_4096.h5;;par;21.171621;2.3296591099351645;0.00047719359072821883
32;4;8;8;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_par.h5;par;21.17162;2.3304807199165225;0.0004773618844564774
32;4;8;8;4096;4882;50;0.001;input_data_4096.h5;
